/usr/local/bin/fastp -i 49937_1#165_1.fastq.gz -I 49937_1#165_2.fastq.gz -o trimmed/49937_1#165_1_tr.fastq.gz -O trimmed/49937_1#165_2_tr.fastq.gz -j trimmed/49937_1#165.json -h trimmed/49937_1#165.html 	2210182	2195612
/usr/local/bin/fastp -i 49937_1#166_1.fastq.gz -I 49937_1#166_2.fastq.gz -o trimmed/49937_1#166_1_tr.fastq.gz -O trimmed/49937_1#166_2_tr.fastq.gz -j trimmed/49937_1#166.json -h trimmed/49937_1#166.html 	2396832	2371310
/usr/local/bin/fastp -i 49937_1#167_1.fastq.gz -I 49937_1#167_2.fastq.gz -o trimmed/49937_1#167_1_tr.fastq.gz -O trimmed/49937_1#167_2_tr.fastq.gz -j trimmed/49937_1#167.json -h trimmed/49937_1#167.html 	2294742	2272442
/usr/local/bin/fastp -i 49937_1#168_1.fastq.gz -I 49937_1#168_2.fastq.gz -o trimmed/49937_1#168_1_tr.fastq.gz -O trimmed/49937_1#168_2_tr.fastq.gz -j trimmed/49937_1#168.json -h trimmed/49937_1#168.html 	2550170	2529876
/usr/local/bin/fastp -i 49937_1#169_1.fastq.gz -I 49937_1#169_2.fastq.gz -o trimmed/49937_1#169_1_tr.fastq.gz -O trimmed/49937_1#169_2_tr.fastq.gz -j trimmed/49937_1#169.json -h trimmed/49937_1#169.html 	2245810	2226062
/usr/local/bin/fastp -i 49937_1#16_1.fastq.gz -I 49937_1#16_2.fastq.gz -o trimmed/49937_1#16_1_tr.fastq.gz -O trimmed/49937_1#16_2_tr.fastq.gz -j trimmed/49937_1#16.json -h trimmed/49937_1#16.html 	2288438	2270270
/usr/local/bin/fastp -i 49937_1#170_1.fastq.gz -I 49937_1#170_2.fastq.gz -o trimmed/49937_1#170_1_tr.fastq.gz -O trimmed/49937_1#170_2_tr.fastq.gz -j trimmed/49937_1#170.json -h trimmed/49937_1#170.html 	2647158	2620364
/usr/local/bin/fastp -i 49937_1#171_1.fastq.gz -I 49937_1#171_2.fastq.gz -o trimmed/49937_1#171_1_tr.fastq.gz -O trimmed/49937_1#171_2_tr.fastq.gz -j trimmed/49937_1#171.json -h trimmed/49937_1#171.html 	2816038	2796454
/usr/local/bin/fastp -i 49937_1#172_1.fastq.gz -I 49937_1#172_2.fastq.gz -o trimmed/49937_1#172_1_tr.fastq.gz -O trimmed/49937_1#172_2_tr.fastq.gz -j trimmed/49937_1#172.json -h trimmed/49937_1#172.html 	2451092	2432132
/usr/local/bin/fastp -i 49937_1#173_1.fastq.gz -I 49937_1#173_2.fastq.gz -o trimmed/49937_1#173_1_tr.fastq.gz -O trimmed/49937_1#173_2_tr.fastq.gz -j trimmed/49937_1#173.json -h trimmed/49937_1#173.html 	2206120	2191164
